alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,31,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.04 Cr,395655,1,51.18
INDIA,54,Faizabad,ARVIND SEN,Communist Party of India,Uttar Pradesh,,0.00 Cr,15367,1,1.35
INDIA,20,BANSWARA,ARVIND SITA DAMOR,Indian National Congress,Rajasthan,,0.01 Cr,61211,1,3.74
INDIA,80,Robertsganj,ASHOK KUMAR KANNAUJIYA,Communist Party of India,Uttar Pradesh,,0.00 Cr,23852,1,2.36
INDIA,7,Ludhiana,ASHOK PRASHAR PAPPI,Aam Aadmi Party,Punjab,,0.02 Cr,237077,1,22.38
INDIA,1,Tripura West,ASISH KUMAR SAHA,Indian National Congress,Tripura,,0.03 Cr,269763,1,22.3
INDIA,41,Bolpur,ASIT KUMAR MAL,All India Trinamool Congress,West Bengal,,0.09 Cr,855633,1,55.98
INDIA,3,Vizianagaram,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,Andhra Pradesh,,0.00 Cr,1070,1,0.08
INDIA,1,Adilabad,ATHRAM SUGUNA,Indian National Congress,Telangana,,0.05 Cr,477516,1,38.65
INDIA,18,Siwan,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,Bihar,,0.02 Cr,198823,1,19.92
INDIA,54,Faizabad,AWADHESH PRASAD,Samajwadi Party,Uttar Pradesh,,0.06 Cr,554289,1,48.59
INDIA,39,Bardhaman-Durgapur,AZAD KIRTI JHA,All India Trinamool Congress,West Bengal,,0.07 Cr,720667,1,47.99
INDIA,26,Uluberia,AZAHAR MOLLICK,Indian National Congress,West Bengal,,0.01 Cr,78589,1,5.65
INDIA,20,Hindupur,B A SAMAD SHAHEEN,Indian National Congress,Andhra Pradesh,,0.01 Cr,55059,1,3.89
INDIA,18,Chitradurga,B.N.CHANDRAPPA,Indian National Congress,Karnataka,,0.06 Cr,636769,1,46.58
INDIA,11,Khunti,BABITA KACHHAP,Bharat Adivasi Party,Jharkhand,,0.00 Cr,4594,1,0.49
INDIA,73,Jaunpur,BABU SINGH KUSHWAHA,Samajwadi Party,Uttar Pradesh,,0.05 Cr,509130,1,46.21
INDIA,2,Dhule,BACHHAV SHOBHA DINESH,Indian National Congress,Maharashtra,,0.06 Cr,583866,1,47.89
INDIA,29,Arambagh,BAG MITALI,All India Trinamool Congress,West Bengal,,0.07 Cr,712587,1,45.71
