state_id,region_id,constituency_id,state_name,region_name,constituency_no,constituency_name,election_phase,polling_date,winner_candidate,winner_party,alliance_name,runner_up_candidate,runner_up_party,evm_votes,postal_votes,winner_votes,constituency_total_votes,vote_share,margin_votes,result_status,winner_age,winner_gender
7,2,84,Chhattisgarh,Central Region,1,SURGUJA,3,2024-05-07,CHINTAMANI MAHARAJ,Bharatiya Janata Party,NDA,SHASHI SINGH KORAM,Indian National Congress,712172,1028,713200,1455269.0,49.01,64822,Result Declared,56.0,male
7,2,85,Chhattisgarh,Central Region,2,RAIGARH,3,2024-05-07,RADHESHYAM RATHIYA,Bharatiya Janata Party,NDA,DR. MENKA DEVI SINGH,Indian National Congress,806667,1608,808275,1452965.0,55.63,240391,Result Declared,52.0,male
7,2,86,Chhattisgarh,Central Region,3,JANJGIR-CHAMPA,3,2024-05-07,KAMLESH JANGDE,Bharatiya Janata Party,NDA,DR. SHIVKUMAR DAHARIYA,Indian National Congress,675740,2459,678199,1392240.0,48.71,60000,Result Declared,43.0,female
7,2,87,Chhattisgarh,Central Region,4,KORBA,3,2024-05-07,JYOTSNA CHARANDAS MAHANT,Indian National Congress,INDIA,SAROJ PANDEY,Bharatiya Janata Party,569098,1084,570182,1225313.0,46.53,43283,Result Declared,70.0,female
7,2,88,Chhattisgarh,Central Region,5,BILASPUR,3,2024-05-07,TOKHAN SAHU,Bharatiya Janata Party,NDA,DEVENDRA YADAV,Indian National Congress,723194,1743,724937,1361350.0,53.25,164558,Result Declared,53.0,male
7,2,89,Chhattisgarh,Central Region,6,RAJNANDGAON,2,2024-04-26,SANTOSH PANDEY,Bharatiya Janata Party,NDA,BHUPESH BAGHEL,Indian National Congress,711439,618,712057,1445765.0,49.25,44411,Result Declared,56.0,male
7,2,90,Chhattisgarh,Central Region,7,DURG,3,2024-05-07,VIJAY BAGHEL,Bharatiya Janata Party,NDA,RAJENDRA SAHU,Indian National Congress,954356,2141,956497,1542787.0,62.0,438226,Result Declared,65.0,male
7,2,91,Chhattisgarh,Central Region,8,RAIPUR,3,2024-05-07,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,NDA,VIKAS UPADHYAY,Indian National Congress,1047447,2904,1050351,1586755.0,66.19,575285,Result Declared,64.0,male
7,2,92,Chhattisgarh,Central Region,9,MAHASAMUND,2,2024-04-26,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,NDA,TAMRADHWAJ SAHU,Indian National Congress,701291,2368,703659,1326080.0,53.06,145456,Result Declared,47.0,female
7,2,93,Chhattisgarh,Central Region,10,BASTAR,1,2024-04-19,MAHESH KASHYAP,Bharatiya Janata Party,NDA,KAWASI LAKHMA,Indian National Congress,456573,1825,458398,1007395.0,45.5,55245,Result Declared,48.0,male
