party_id,party_name,alliance_name,alliance_id
351,Jay Vidarbha Party,Others,3
352,Jebamani Janata,Others,3
353,Jharkhand Mukti Morcha,INDIA,2
354,Jharkhand Mukti Morcha  (Ulgulan),Others,3
355,Jharkhand Party,Others,3
356,Jharkhand People's Party,Others,3
357,Jindabad Kranti Party,Others,3
358,Justice Party,Others,3
359,Kalinga Sena,Others,3
360,Kamatapur People’s Party (United),Others,3
361,Kamera Samaj Party,Others,3
362,Kamgaar Kisan Party,Others,3
363,Kannada  Paksha,Others,3
364,Kannada Chalavali Vatal Paksha,Others,3
365,Karnataka Jantha Paksha,Others,3
366,Karnataka Karmikara Paksha,Others,3
367,Karnataka Praja Party (RaithaParva),Others,3
368,Karnataka Rashtra Samithi,Others,3
369,Karpoori Janta Dal,Others,3
370,Karunaadu Party,Others,3
371,Karunada Sevakara Party,Others,3
372,Kerala Congress,INDIA,2
373,Kerala Congress  (M),INDIA,2
374,Kisan Kranti Dal,Others,3
375,Kisan Mazdoor Sangharsh Party,Others,3
376,Kisan Vishwa Party,Others,3
377,Kosal Janata Dal,Others,3
378,Kranti Janshakti Party,Others,3
379,Kranti Kari Jai Hind Sena,Others,3
380,Krupaa Party,Others,3
381,Kunbi Bahujan Sawrajya Party,Others,3
382,Liberation Congress Party,Others,3
383,Log Party,Others,3
384,Lok Jan Sangharsh Party,Others,3
385,Lok Janshakti Party(Ram Vilas),NDA,1
386,Lok Samaj Party,Others,3
387,Lok Sena Party,Others,3
388,Lok Sewa Dal,Others,3
389,Lok Swarajya Party,Others,3
390,Lokhit Adhikar Party,Others,3
391,Lokpriya Rashtrawadi Party,Others,3
392,Lokrajya Janata Party,Others,3
393,Lokshahi Ekta Party,Others,3
394,Loktantra Congress Party,Others,3
395,Loktantrik Janshakti Party,Others,3
396,Loktantrik Janta Dal,Others,3
397,Loktantrik Lok Rajyam Party,Others,3
398,Loktantrik Samajik Nyay Party,Others,3
399,Loktantrik Samajwadi Party,Others,3
400,Maa Telangana Party,Others,3
401,Madhya Pradesh Jan Vikas Party,Others,3
402,Mahanwadi Party,Others,3
403,Maharashtra Vikas Aghadi,Others,3
404,Mahathma Makkal Munnetra Kazhakam,Others,3
405,Majdoor Kisan Union Party,Others,3
406,Majloom Samaj Party,Others,3
407,Makkal Nala Kazhagam,Others,3
408,Makkal Nalvaazhvuk Katchi,Others,3
409,Malwa Congress,Others,3
410,Mana Telangana Rashtra Samaikya Party,Others,3
411,Manas Lokshakti Dal,Others,3
412,Manav Kranti Party,Others,3
413,Manav Samadhan Party,Others,3
414,Manavtawadi Samaj Party,Others,3
415,Mang Samaj Party,Others,3
416,Manviya Bharat Party,Others,3
417,Marumalarchi Dravida Munnetra Kazhagam,INDIA,2
418,Marxist Communist Party of India (United),Others,3
419,Marxist Leninist Party of India (Red Flag),Others,3
420,Megh Desham Party,Others,3
421,Mera Adhikaar Rashtriya Dal,Others,3
422,Mera Bharat Mahan Party,Others,3
423,Minorities Democratic Party,Others,3
424,Mission All India Independent Justice Party,Others,3
425,Mission Naya Digant Party,Others,3
426,Mithilanchal Mukti Morcha,Others,3
427,Mizo National Front,Others,3
428,Mizoram People's Conference,Others,3
429,Moolniwasi Samaj Party,Others,3
430,Most Backward Classes Of India,Others,3
431,Moulik Adhikar Party,Others,3
432,Mulnibasi Party of India,Others,3
433,Naadaalum Makkal Katchi,Others,3
434,Naam Indiar Party,Others,3
435,Naam Tamilar Katchi,Others,3
436,Naari Nar Rakshak Party,Others,3
437,Naba Bharata Nirmana Seva Party,Others,3
438,Naga Peoples Front,NDA,1
439,Naki Bharatiya Ekta Party,Others,3
440,Nam India Naam Indiyar Katchi,Others,3
441,National Apni Party,Others,3
442,National Awami United Party,Others,3
443,National Black Panther Party,Others,3
444,National Future Party,Others,3
445,National Jan Dal,Others,3
446,National Janmandal Party,Others,3
447,National Loktantrik Party,Others,3
448,National Maha Sabha Party,Others,3
449,National Nava Kranthi Party,Others,3
450,National Party,Others,3
451,National People's Party,NDA,1
452,National Republic Party Of India,Others,3
453,National World Leader Party,Others,3
454,National Youth Party,Others,3
455,Nationalist Congress Party,NDA,1
456,Nationalist Congress Party – Sharadchandra Pawar,INDIA,2
457,Nationalist Democratic Progressive Party,Others,3
458,Nationalist Justice Party,Others,3
459,Navabharath Sena,Others,3
460,Navarang Congress Party,Others,3
461,Navataram Party,Others,3
462,Navodayam Party,Others,3
463,Navsarjan Bharat Party,Others,3
464,Navyug Pragatisheel Morcha,Others,3
465,Neethi Nijayithi Party,Others,3
466,Netaji Subhash Chander Bose Rashtriya Azad Party,Others,3
467,New Generation People’s Party,Others,3
468,New India Party,Others,3
469,New India United Party,Others,3
470,New Labour Party,Others,3
471,New Rashtriya Samaj Party,Others,3
472,None of the Above,Others,3
473,North Bengal People’s Party,Others,3
474,Nyaydharmsabha,Others,3
475,Odisha Janata Party,Others,3
476,Pachchasi Parivartan Samaj Party,Others,3
477,Parcham Party of India,Others,3
478,Parivartan Party of India,Others,3
479,Parivartan Samaj Party,Others,3
480,Party for Democratic Socialism,Others,3
481,Paschimanchal Vikas Party,Others,3
482,Pattali Makkal Katchi,NDA,1
483,Peace Party,Others,3
484,Pehchan People’s Party,Others,3
485,People Protection Party,Others,3
486,People's Party of India(secular),Others,3
487,Peoples Party of India (Democratic),Others,3
488,People’s Union Party,Others,3
489,Pichhara Samaj Party United,Others,3
490,Political Justice Party,Others,3
491,Prabal Bharat Party,Others,3
492,Prabuddha Republican Party,Others,3
493,Prabuddhwadi Bahujan Morcha,Others,3
494,Pragatisheel Magahi Samaj,Others,3
495,Pragatisheel Manav Samaj Party,Others,3
496,Pragatisheel Samaj Party,Others,3
497,Prahar Janshakti Party,Others,3
498,Praja Ektha Party,Others,3
499,Praja Prasthanam Party,Others,3
500,Praja Shanthi Party,Others,3
501,Praja Velugu Party,Others,3
502,Prajarajya Samithi,Others,3
503,Prajatantra Aadhar Party,Others,3
504,Prajavani  Party,Others,3
505,Prithviraj Janshakti Party,Others,3
506,"Proutist Bloc, India",Others,3
507,Proutist Sarva Samaj,Others,3
508,Public Adhikar Socialist Indian Party,Others,3
509,Public Political Party,Others,3
510,Punjab National Party,Others,3
511,Punnagai Desam Party,Others,3
512,Purvanchal Mahapanchayat,Others,3
513,Puthiya Makkal Tamil Desam Katchi,Others,3
514,Pyramid Party of India,Others,3
515,Radical Party of India (Ambedkarist),Others,3
516,Raita Bharat Party,Others,3
517,Rajasthan Raj Party,Others,3
518,Rani Chennamma Party,Others,3
519,Rashtra Dharak Dal,Others,3
520,Rashtra Nirman Party,Others,3
521,Rashtra Samanya Praja Party,Others,3
522,Rashtra Samarpan Party,Others,3
523,Rashtra Sewa Dal,Others,3
524,Rashtra Uday Party,Others,3
525,Rashtravadi Bharat Party,Others,3
526,Rashtravadi Loktantrik Party (India),Others,3
527,Rashtrawadi Chetna Party,Others,3
528,Rashtrawadi Janlok Party (Satya),Others,3
529,Rashtriy Bahujan Party,Others,3
530,Rashtriya Congress(J) Party,Others,3
531,Rashtriya Devbhumi Party,Others,3
532,Rashtriya Garib Dal,Others,3
533,Rashtriya Gondvana Party,Others,3
534,Rashtriya Hind Ekta Dal,Others,3
535,Rashtriya Jan Awaz Party,Others,3
536,Rashtriya Jan Jan Party,Others,3
537,Rashtriya Jan Kalyan Party Secular,Others,3
538,Rashtriya Jan Karmath Party,Others,3
539,Rashtriya Jan Utkarsh Party,Others,3
540,Rashtriya Janata Dal,INDIA,2
541,Rashtriya Janhit Sangharsh Party,Others,3
542,Rashtriya Jankranti Party,Others,3
543,Rashtriya Janmanch (Secular),Others,3
544,Rashtriya Janmorcha,Others,3
545,Rashtriya Jansabha Party,Others,3
546,Rashtriya Jansambhavna Party,Others,3
547,Rashtriya Jansanchar Dal,Others,3
548,Rashtriya Jansangharsh Swaraj Party,Others,3
549,Rashtriya Jansena Party,Others,3
550,Rashtriya Janshakti Party (Secular),Others,3
551,Rashtriya Janshakti Party(Eklavya),Others,3
552,Rashtriya Janshakti Samaj Party,Others,3
553,Rashtriya Janta Party,Others,3
554,Rashtriya Jantantrik Bharat Vikas Party,Others,3
555,Rashtriya Janutthan Party,Others,3
556,Rashtriya Jatigat Aarakshan Virodhi Party,Others,3
557,Rashtriya Kisan Bahujan Party,Others,3
558,Rashtriya Lok Dal,NDA,1
559,Rashtriya Lok Morcha,NDA,1
560,Rashtriya Lokswaraj Party,Others,3
561,Rashtriya Loktantrik Party,INDIA,2
562,Rashtriya Mahaswaraj Bhumi Party,Others,3
563,Rashtriya Manav Party,Others,3
564,Rashtriya Mangalam Party,Others,3
565,Rashtriya Maratha Party,Others,3
566,Rashtriya Mazdoor Ekta Party,Others,3
567,Rashtriya Narayanwadi Vikas Party,Others,3
568,Rashtriya Power Party,Others,3
569,Rashtriya Praja Congress  (Secular),Others,3
570,Rashtriya Rashtrawadi Party,Others,3
571,Rashtriya Republican Party,Others,3
572,Rashtriya Samaj Dal (R),Others,3
573,Rashtriya Samaj Paksha,Others,3
574,Rashtriya Samanta Dal,Others,3
575,Rashtriya Samta Vikas Party,Others,3
576,Rashtriya Sanatan Party,Others,3
577,Rashtriya Sanskriti Party,Others,3
578,Rashtriya Sant Sandesh Party,Others,3
579,Rashtriya Sawarn Dal,Others,3
580,Rashtriya Secular Majlis Party,Others,3
581,Rashtriya Shoshit Samaj Party,Others,3
582,Rashtriya Suraksha Party,Others,3
583,Rashtriya Ulama Council,Others,3
584,Rashtriya Uttarakhand Party,Others,3
585,Rashtriya Vikalp Party,Others,3
586,Rashtriya Vikas Party,Others,3
587,Rastriya Atal Janta Party,Others,3
588,Rayalaseema Rashtra Samithi,Others,3
589,Republican Bahujan Sena,Others,3
590,Republican Party of India,Others,3
591,Republican Party of India  (Sivaraj),Others,3
592,Republican Party of India (A),Others,3
593,Republican Party of India (Athawale),NDA,1
594,Republican Party of India (Karnataka),Others,3
595,Republican Party of India (Social),Others,3
596,Republican Party of India Bharatha,Others,3
597,Republican Sena,Others,3
598,Revolutionary Goans Party,Others,3
599,Revolutionary Socialist Party,INDIA,2
600,Right to Recall Party,Others,3
601,Rishivadi Karm Sheel Young Parmarthi Party,Others,3
602,Saath Sahakar Vikas Party,Others,3
603,Sabhi Jan Party,Others,3
604,Sabse Achchhi Party,Others,3
605,Sacho Sach Party,Others,3
606,Sainik Samaj Party,Others,3
607,Sajag Samaj Party,Others,3
608,Sakala Janula Party,Others,3
609,Samaj Bhalai Morcha,Others,3
610,Samaj Parivartan Party,Others,3
611,Samaj Shakti Party,Others,3
612,Samaj Vikas Kranti Party,Others,3
613,Samajhdar Party,Others,3
614,Samajik Sangharsh Party,Others,3
615,Samajwadi Jan Parishad,Others,3
616,Samajwadi Janata Party(Karnataka),Others,3
617,Samajwadi Lok Parishad,Others,3
618,Samajwadi Party,INDIA,2
619,Saman Adhikar Party,Others,3
620,Samaniya Makkal Nala Katchi,Others,3
621,Samata Party,Others,3
622,Samata Samadhan Party,Others,3
623,Samnak Janta Party,Others,3
624,Sampoorna Bharat Kranti Party,Others,3
625,Samrat Mihir Bhoj Samaj Party,Others,3
626,Samruddha Odisha,Others,3
627,Samst Samaj Party,Others,3
628,Samyak Party,Others,3
629,Sanatan Sanskriti Raksha Dal,Others,3
630,Sanjhi Virasat Party,Others,3
631,Sankhyanupati Bhagidari Party,Others,3
632,Sanman Rajkiya Paksha,Others,3
633,Sanyogwadi Party,Others,3
634,Sanyukt Bharat Paksh,Others,3
635,Sanyukt Kisan Vikas Party,Others,3
636,Sapaks Party,Others,3
637,Sardar Patel Siddhant Party,Others,3
638,Sardar Vallabhbhai Patel Party,Others,3
639,Sarv Adi Dal,Others,3
640,Sarv Samaj Party,Others,3
641,Sarva Janata Party,Others,3
642,Sarva Samaj Janata Party,Others,3
643,Sarvar Party,Others,3
644,Sarvjan Awaz Party,Others,3
645,Sarvjan Lok Shakti Party,Others,3
646,Sarvjan Samta Party,Others,3
647,Sarvlokhit Samaj Party,Others,3
648,Sathi Aur Aapka Faisala Party,Others,3
649,Satya Bahumat Party,Others,3
650,Satyawadi Rakshak Party,Others,3
651,Secular Democratic Congress,Others,3
652,Sehajdhari Sikh Party,Others,3
653,Shakti Sena (Bharat Desh),Others,3
654,Shiromani Akali Dal,Others,3
655,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Others,3
656,Shiromani Lok Dal Party,Others,3
657,Shiv Sena,NDA,1
658,Shiv Sena (Uddhav Balasaheb Thackrey),INDIA,2
659,Shoshit Samaj Dal,Others,3
660,Sikkim Democratic Front,Others,3
661,Sikkim Krantikari Morcha,NDA,1
662,Sikkim Republican Party,Others,3
663,Smart Indians Party,Others,3
664,Social Democratic Party Of India,Others,3
665,Social Justice Party of India,Others,3
666,Socialist Party (India),Others,3
667,Socialist Unity Centre Of India (COMMUNIST),Others,3
668,Spashtwadi Jan Aadhar Party,Others,3
669,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),Others,3
670,Suheldev Bharatiya Samaj Party,NDA,1
671,Sunahara Bharat Party,Others,3
672,Sunder Samaj Party,Others,3
673,Super Power India Party,Others,3
674,Supreme Zero Party of Bharat,Others,3
675,Swabhimani Paksha,Others,3
676,Swaraj Bhartiya Nyay Party,Others,3
