constituency_id,constituency_no,constituency_name,state_id,phase_id
331,12,Sangrur,28,7
332,13,Patiala,28,7
333,1,GANGANAGAR,29,1
334,2,BIKANER,29,1
335,3,CHURU,29,1
336,4,JHUNJHUNU,29,1
337,5,SIKAR,29,1
338,6,JAIPUR RURAL,29,1
339,7,JAIPUR,29,1
340,8,ALWAR,29,1
341,9,BHARATPUR,29,1
342,10,KARAULI-DHOLPUR,29,1
343,11,DAUSA,29,1
344,12,TONK-SAWAI MADHOPUR,29,2
345,13,AJMER,29,2
346,14,NAGAUR,29,1
347,15,PALI,29,2
348,16,JODHPUR,29,2
349,17,BARMER,29,2
350,18,JALORE,29,2
351,19,UDAIPUR,29,2
352,20,BANSWARA,29,2
353,21,CHITTORGARH,29,2
354,22,RAJSAMAND,29,2
355,23,BHILWARA,29,2
356,24,KOTA,29,2
357,25,JHALAWAR-BARAN,29,2
358,1,Sikkim,30,1
359,1,TIRUVALLUR,31,1
360,2,CHENNAI NORTH,31,1
361,3,CHENNAI SOUTH,31,1
362,4,CHENNAI CENTRAL,31,1
363,5,SRIPERUMBUDUR,31,1
364,6,KANCHEEPURAM,31,1
365,7,ARAKKONAM,31,1
366,8,VELLORE,31,1
367,9,KRISHNAGIRI,31,1
368,10,DHARMAPURI,31,1
369,11,TIRUVANNAMALAI,31,1
370,12,ARANI,31,1
371,13,VILUPPURAM,31,1
372,14,KALLAKURICHI,31,1
373,15,SALEM,31,1
374,16,NAMAKKAL,31,1
375,17,ERODE,31,1
376,18,TIRUPPUR,31,1
377,19,NILGIRIS,31,1
378,20,COIMBATORE,31,1
379,21,POLLACHI,31,1
380,22,DINDIGUL,31,1
381,23,KARUR,31,1
382,24,TIRUCHIRAPPALLI,31,1
383,25,PERAMBALUR,31,1
384,26,CUDDALORE,31,1
385,27,CHIDAMBARAM,31,1
386,28,MAYILADUTHURAI,31,1
387,29,NAGAPATTINAM,31,1
388,30,THANJAVUR,31,1
389,31,SIVAGANGA,31,1
390,32,MADURAI,31,1
391,33,THENI,31,1
392,34,VIRUDHUNAGAR,31,1
393,35,RAMANATHAPURAM,31,1
394,36,THOOTHUKKUDI,31,1
395,37,TENKASI,31,1
396,38,TIRUNELVELI,31,1
397,39,KANNIYAKUMARI,31,1
398,1,Adilabad,32,4
399,2,Peddapalle,32,4
400,3,Karimnagar,32,4
401,4,Nizamabad,32,4
402,5,Zahirabad,32,4
403,6,Medak,32,4
404,7,Malkajgiri,32,4
405,8,Secunderabad,32,4
406,9,Hyderabad,32,4
407,10,Chevella,32,4
408,11,Mahbubnagar,32,4
409,12,Nagarkurnool,32,4
410,13,Nalgonda,32,4
411,14,Bhongir,32,4
412,15,Warangal,32,4
413,16,Mahabubabad,32,4
414,17,Khammam,32,4
415,1,Tripura West,33,1
416,2,Tripura East,33,2
417,1,Saharanpur,34,1
418,2,Kairana,34,1
419,3,Muzaffarnagar,34,1
420,4,Bijnor,34,1
421,5,Nagina,34,1
422,6,Moradabad,34,1
423,7,Rampur,34,1
424,8,Sambhal,34,3
425,9,Amroha,34,2
426,10,Meerut,34,2
427,11,Baghpat,34,2
428,12,Ghaziabad,34,2
429,13,Gautam Buddha Nagar,34,2
430,14,Bulandshahr,34,2
431,15,Aligarh,34,2
432,16,Hathras,34,3
433,17,Mathura,34,2
434,18,Agra,34,3
435,19,Fatehpur Sikri,34,3
436,20,Firozabad,34,3
437,21,Mainpuri,34,3
438,22,Etah,34,3
439,23,Badaun,34,3
440,24,Aonla,34,3
441,25,Bareilly,34,3
442,26,Pilibhit,34,1
443,27,Shahjahanpur,34,3
444,28,Kheri,34,3
445,29,Dhaurahra,34,4
446,30,Sitapur,34,4
447,31,Hardoi,34,4
448,32,Misrikh,34,4
449,33,Unnao,34,4
450,34,Mohanlalganj,34,4
451,35,Lucknow,34,4
452,36,Rae Bareli,34,5
453,37,Amethi,34,5
454,38,Sultanpur,34,6
455,39,Pratapgarh,34,6
456,40,Farrukhabad,34,4
457,41,Etawah,34,4
458,42,Kannauj,34,4
459,43,Kanpur,34,4
460,44,Akbarpur,34,4
461,45,Jalaun,34,5
462,46,Jhansi,34,5
463,47,Hamirpur,34,5
464,48,Banda,34,5
465,49,Fatehpur,34,5
466,50,Kaushambi,34,5
467,51,Phulpur,34,6
468,52,Allahabad,34,6
469,53,Barabanki,34,5
470,54,Faizabad,34,5
471,55,Ambedkar Nagar,34,6
472,56,Baharaich,34,4
473,57,Kaiserganj,34,5
474,58,Shrawasti,34,6
475,59,Gonda,34,5
476,60,Domariyaganj,34,6
477,61,Basti,34,6
478,62,Sant Kabir Nagar,34,6
479,63,Maharajganj,34,7
480,64,Gorakhpur,34,7
481,65,Kushi Nagar,34,7
482,66,Deoria,34,6
483,67,Bansgaon,34,6
484,68,Lalganj,34,6
485,69,Azamgarh,34,6
486,70,Ghosi,34,7
487,71,Salempur,34,7
488,72,Ballia,34,7
489,73,Jaunpur,34,6
490,74,Machhlishahr,34,6
491,75,Ghazipur,34,7
492,76,Chandauli,34,7
493,77,Varanasi,34,7
494,78,Bhadohi,34,6
495,79,Mirzapur,34,7
496,80,Robertsganj,34,7
497,1,Tehri Garhwal,35,1
498,2,Garhwal,35,1
499,3,Almora,35,1
500,4,Nainital-Udhamsingh Nagar,35,1
501,5,Haridwar,35,1
502,1,Coochbehar,36,1
503,2,Alipurduars,36,1
504,3,Jalpaiguri,36,1
505,4,Darjeeling,36,2
506,5,Raiganj,36,2
507,6,Balurghat,36,2
508,7,Maldaha Uttar,36,3
509,8,Maldaha Dakshin,36,3
510,9,Jangipur,36,3
511,10,Baharampur,36,4
512,11,Murshidabad,36,3
513,12,Krishnanagar,36,4
514,13,Ranaghat,36,4
515,14,Bangaon,36,5
516,15,Barrackpur,36,5
517,16,Dum dum,36,7
518,17,Barasat,36,7
519,18,Basirhat,36,7
520,19,Joynagar,36,7
521,20,Mathurapur,36,7
522,21,Diamond harbour,36,7
523,22,Jadavpur,36,7
524,23,Kolkata Dakshin,36,7
525,24,Kolkata Uttar,36,7
526,25,Howrah,36,5
527,26,Uluberia,36,5
528,27,Srerampur,36,5
529,28,Hooghly,36,5
530,29,Arambagh,36,5
531,30,Tamluk,36,6
532,31,Kanthi,36,6
533,32,Ghatal,36,6
534,33,Jhargram,36,6
535,34,Medinipur,36,6
536,35,Purulia,36,6
537,36,Bankura,36,6
538,37,Bishnupur,36,6
539,38,Bardhaman Purba,36,4
540,39,Bardhaman-Durgapur,36,4
541,40,Asansol,36,4
542,41,Bolpur,36,4
543,42,Birbhum,36,4
